,CVE ID,REFER TO COMMIT,REFER TO ISSUE,REFER TO RELEASE,REFER TO ADVISORY,REFER TO PULL,REFER TO HUNTR
0,CVE-2022-0350,1,0,0,0,0,1
1,CVE-2022-24782,1,0,0,1,1,0
2,CVE-2022-26269,0,0,0,0,0,0
3,CVE-2022-26605,0,1,0,0,0,0
4,CVE-2022-26607,0,1,0,0,0,0
5,CVE-2022-26613,0,1,0,0,0,0
6,CVE-2022-27818,1,0,1,0,0,0
7,CVE-2022-27819,1,0,1,0,0,0
8,CVE-2022-24713,1,0,0,1,0,0
9,CVE-2022-23909,0,0,0,0,0,0
10,CVE-2021-45943,1,0,0,0,1,0
11,CVE-2022-22934,0,0,1,0,0,0
12,CVE-2022-22935,0,0,1,0,0,0
13,CVE-2022-22941,0,0,1,0,0,0
14,CVE-2022-22936,0,0,1,0,0,0
15,CVE-2016-10524,1,0,0,0,0,0
16,CVE-2018-10237,0,0,0,0,0,0
17,CVE-2021-43138,1,0,0,0,0,0
18,CVE-2022-24822,1,0,1,1,0,0
19,CVE-2021-43110,0,1,0,0,0,0
20,CVE-2021-43109,0,1,0,0,0,0
21,CVE-2021-43505,0,0,0,0,0,0
22,CVE-2021-43506,0,0,0,0,0,0
23,CVE-2021-43707,0,1,0,0,0,0
24,CVE-2018-1000805,0,1,0,0,0,0
25,CVE-2017-14107,1,0,0,0,0,0
26,CVE-2017-11521,0,0,0,0,1,0
27,CVE-2019-6245,0,1,0,0,0,0
28,CVE-2019-3500,0,1,0,0,0,0
29,CVE-2013-7137,1,1,1,0,0,0
30,CVE-2022-28356,1,0,0,0,0,0
31,CVE-2022-24724,0,0,0,1,0,0
32,CVE-2019-11358,1,0,0,0,1,0
33,CVE-2019-17495,0,0,1,0,0,0
34,CVE-2019-17091,1,1,0,0,1,0
35,CVE-2017-18635,1,1,1,0,0,0
36,CVE-2021-32633,1,0,0,1,0,0
37,CVE-2021-28906,0,1,0,0,0,0
38,CVE-2020-13599,0,0,0,0,0,0
39,CVE-2022-24786,1,0,0,1,0,0
40,CVE-2022-24793,1,0,0,1,0,0
41,CVE-2022-27107,0,1,0,0,0,0
42,CVE-2022-27108,0,1,0,0,0,0
43,CVE-2022-27109,0,1,0,0,0,0
44,CVE-2022-27110,0,1,0,0,0,0
45,CVE-2020-28097,1,0,0,0,0,0
46,CVE-2020-11576,1,0,0,0,1,0
47,CVE-2021-22897,1,0,0,0,0,0
48,CVE-2021-22901,1,0,0,0,0,0
49,CVE-2019-20372,1,0,0,0,1,0
50,CVE-2019-16884,0,1,0,0,0,0
51,CVE-2018-13405,1,0,0,0,0,0
52,CVE-2020-11694,0,0,0,0,0,0
53,CVE-2021-39191,1,1,1,1,0,0
54,CVE-2022-0725,0,0,0,0,0,0
55,CVE-2022-23059,1,0,0,0,0,0
56,CVE-2021-45480,1,0,0,0,0,0
57,CVE-2021-45095,1,0,0,0,0,0
58,CVE-2021-22898,1,0,0,0,0,0
59,CVE-2022-26952,0,0,0,0,0,0
60,CVE-2022-26953,0,0,0,0,0,0
61,CVE-2021-40374,0,0,0,0,0,0
62,CVE-2021-40375,0,0,0,0,0,0
63,CVE-2022-1234,1,0,0,0,0,1
64,CVE-2022-1237,1,0,0,0,0,1
65,CVE-2022-1238,1,0,0,0,0,1
66,CVE-2022-1240,1,0,0,0,0,1
67,CVE-2022-1253,1,0,0,0,0,1
68,CVE-2022-27948,0,0,0,0,0,0
69,CVE-2022-27192,0,0,0,0,0,0
70,CVE-2021-33523,0,0,0,0,0,0
71,CVE-2021-43142,0,0,0,0,0,0
72,CVE-2021-33581,0,0,0,0,0,0
73,CVE-2021-33208,0,0,0,0,0,0
74,CVE-2021-38362,0,0,0,0,0,0
75,CVE-2022-1087,0,0,0,0,0,0
76,CVE-2022-27772,0,0,0,1,0,0
77,CVE-2022-1155,1,0,0,0,0,1
78,CVE-2022-24131,0,0,0,0,0,0
79,CVE-2022-1172,1,0,0,0,0,1
80,CVE-2022-24795,1,0,0,1,0,0
81,CVE-2022-1244,1,0,0,0,0,1
82,CVE-2022-24780,1,0,0,1,0,0
83,CVE-2022-24811,1,0,0,1,0,1
84,CVE-2022-26628,0,0,0,0,0,0
85,CVE-2022-27123,0,0,0,0,0,0
86,CVE-2022-27124,0,0,0,0,0,0
87,CVE-2022-27304,0,0,0,0,0,0
88,CVE-2022-28115,0,0,0,0,0,0
89,CVE-2022-28116,0,0,0,0,0,0
90,CVE-2022-28467,0,0,0,0,0,0
91,CVE-2022-28468,0,0,0,0,0,0
92,CVE-2019-15681,1,0,0,0,0,0
93,CVE-2019-13115,0,0,0,0,1,0
94,CVE-2020-23903,0,1,0,0,0,0
95,CVE-2021-46108,0,0,0,0,0,0
96,CVE-2018-25020,1,0,0,0,0,0
97,CVE-2017-1002201,1,0,0,0,0,0
98,CVE-2019-9162,1,0,0,0,0,0
99,CVE-2019-9082,0,1,0,0,0,0
100,CVE-2019-6974,1,0,0,0,0,0
101,CVE-2019-8341,0,0,0,0,0,0
102,CVE-2022-24124,0,1,0,0,1,0
103,CVE-2022-24789,0,0,1,1,0,0
104,CVE-2022-21926,0,0,0,0,0,0
105,CVE-2022-0726,1,0,0,0,0,1
106,CVE-2019-9942,1,0,0,0,0,0
107,CVE-2021-43662,0,0,0,0,0,0
108,CVE-2021-43663,0,0,0,0,0,0
109,CVE-2021-43661,0,0,0,0,0,0
110,CVE-2022-25008,0,0,0,0,0,0
111,CVE-2021-43664,0,0,0,0,0,0
112,CVE-2022-26644,0,0,0,0,0,0
113,CVE-2022-26645,0,0,0,0,0,0
114,CVE-2022-26646,0,0,0,0,0,0
115,CVE-2022-26630,0,1,0,0,0,0
116,CVE-2020-24771,0,0,0,0,0,0
117,CVE-2020-24770,0,0,0,0,0,0
118,CVE-2020-24769,0,0,0,0,0,0
119,CVE-2022-24769,1,0,1,1,0,0
120,CVE-2022-26244,0,1,0,0,0,0
121,CVE-2021-43118,0,0,0,0,0,0
122,CVE-2021-42911,0,0,0,0,0,0
123,CVE-2021-44081,0,1,0,0,0,0
124,CVE-2022-24303,0,0,0,0,1,0
125,CVE-2021-45942,1,0,1,0,1,0
126,CVE-2021-43701,0,1,0,0,0,0
127,CVE-2021-28905,0,1,0,0,0,0
128,CVE-2021-28904,0,1,0,0,0,0
129,CVE-2021-28903,0,1,0,0,0,0
130,CVE-2021-28902,0,1,0,0,0,0
131,CVE-2021-29471,1,0,1,1,0,0
132,CVE-2020-36327,0,1,0,0,0,0
133,CVE-2020-25097,0,0,0,1,0,0
134,CVE-2021-29449,0,0,0,1,0,0
135,CVE-2021-29464,1,0,0,1,0,0
136,CVE-2021-29463,1,0,0,1,0,0
137,CVE-2020-19229,0,1,0,0,0,0
138,CVE-2020-23349,0,1,0,0,0,0
139,CVE-2020-28847,0,1,0,0,0,0
140,CVE-2021-27116,0,1,0,0,0,0
141,CVE-2021-27117,0,1,0,0,0,0
142,CVE-2021-28428,1,0,0,0,0,0
143,CVE-2021-30080,1,0,0,0,0,0
144,CVE-2021-41245,1,0,0,1,0,1
145,CVE-2021-41751,0,0,0,0,1,0
146,CVE-2021-41752,0,1,0,0,0,0
147,CVE-2022-0602,1,0,0,0,0,1
148,CVE-2022-1243,1,0,0,0,0,1
149,CVE-2022-26982,0,0,0,0,0,0
150,CVE-2022-26986,0,0,0,0,0,0
151,CVE-2022-27462,1,0,0,0,0,0
152,CVE-2022-27463,1,0,0,0,0,0
153,CVE-2021-32613,1,1,0,0,0,0
154,CVE-2020-35848,1,0,0,0,0,0
155,CVE-2020-35847,1,0,0,0,0,0
156,CVE-2020-28169,1,1,0,0,1,0
157,CVE-2020-27153,1,0,0,0,0,0
158,CVE-2020-14332,0,0,0,0,1,0
159,CVE-2022-24776,0,0,1,1,1,0
160,CVE-2022-24763,1,0,0,1,0,0
161,CVE-2022-26280,0,1,0,0,0,0
162,CVE-2022-20001,0,0,1,1,1,0
163,CVE-2022-26291,0,1,0,0,0,0
164,CVE-2021-40644,0,0,0,0,0,0
165,CVE-2021-43105,0,0,0,0,0,0
166,CVE-2020-13881,1,1,0,0,0,0
167,CVE-2020-1740,0,1,0,0,0,0
168,CVE-2020-1736,0,1,0,0,0,0
169,CVE-2020-1735,0,1,0,0,0,0
170,CVE-2020-1753,0,0,0,0,1,0
171,CVE-2022-1160,1,0,0,0,0,1
172,CVE-2022-27815,1,0,1,0,0,0
173,CVE-2022-26255,0,1,0,0,0,0
174,CVE-2022-1086,0,0,0,0,0,0
175,CVE-2022-26245,0,1,0,0,0,0
176,CVE-2022-27950,1,0,0,0,0,0
177,CVE-2022-24135,0,1,0,0,0,0
178,CVE-2022-26572,0,0,0,0,0,0
179,CVE-2022-1233,1,0,0,0,0,1
180,CVE-2022-23732,0,0,0,0,0,0
181,CVE-2022-27649,1,0,0,1,0,0
182,CVE-2022-27650,1,0,0,1,0,0
183,CVE-2022-27651,1,0,0,1,0,0
